 0.00     622912 1516 1507 1518     622609 -217787588 -433692756 11453        0       48      622852 0.0079 0.0057  2.0063 0.0636 
 0.10     623157 1516 1507 1518     623005 -217787593 -433692748 11587       -5       53      623096 0.0083 0.0074  2.0322 0.1215 
 0.20     623157 1516 1507 1518     623005 -217787593 -433692748 11587       -5       53      623096 0.0083 0.0074  2.0322 0.1215 
 0.30     623157 1516 1507 1518     623208 -217787599 -433692738 11783      -12       55      623096 0.0083 0.0074  2.0322 0.1215 
 0.40     623157 1516 1507 1518     623208 -217787599 -433692738 11783      -12       55      623096 0.0083 0.0074  2.0322 0.1215 
 0.50     623444 1924 1514 1514     623208 -217787599 -433692738 11783      -12       55      623362 0.0082 0.0065  2.0688 0.1595 
 0.60     623444 1924 1514 1514     623414 -217787610 -433692724 12049      -47       96      623651 0.0106 -0.0237  2.1259 0.2323 
 0.70     623692 1924 1514 1514     623414 -217787610 -433692724 12049      -47       96      623651 0.0106 -0.0237  2.1259 0.2323 
 0.80     623692 1924 1514 1514     623802 -217787633 -433692698 12394      -88      133      623651 0.0106 -0.0237  2.1259 0.2323 
 0.90     623692 1924 1514 1514     623802 -217787633 -433692698 12394      -88      133      623651 0.0106 -0.0237  2.1259 0.2323 
 1.00     623692 1924 1514 1514     623802 -217787633 -433692698 12394      -88      133      623651 0.0106 -0.0237  2.1259 0.2323 
 1.10     623959 1924 1514 1514     623802 -217787633 -433692698 12394      -88      133      623936 0.0087 0.0190  2.1906 0.2101 
 1.20     624203 1924 1514 1514     624008 -217787665 -433692667 12710     -130      156      624162 0.0096 0.0305  2.2410 0.2016 
 1.30     624203 1924 1514 1514     624192 -217787711 -433692634 13047     -171      166      624162 0.0096 0.0305  2.2410 0.2016 
 1.40     624476 1924 1514 1514     624192 -217787711 -433692634 13047     -171      166      624433 0.0105 0.0428  2.2998 0.1824 
 1.50     624476 1924 1514 1514     624401 -217787763 -433692603 13354     -206      166      624433 0.0105 0.0428  2.2998 0.1824 
 1.60     624476 1924 1514 1514     624401 -217787763 -433692603 13354     -206      166      624433 0.0105 0.0428  2.2998 0.1824 
 1.70     624730 1924 1514 1514     624401 -217787763 -433692603 13354     -206      166      624689 0.0117 0.0764  2.3526 0.1502 
 1.80     624730 1924 1514 1514     624800 -217787824 -433692575 13632     -236      157      624689 0.0117 0.0764  2.3526 0.1502 
 1.90     624730 1924 1514 1514     624800 -217787824 -433692575 13632     -236      157      624689 0.0117 0.0764  2.3526 0.1502 
 2.00     624977 1924 1514 1514     624800 -217787824 -433692575 13632     -236      157      624956 0.0156 0.0864  2.4011 0.1264 
 2.10     624977 1924 1514 1514     624985 -217787888 -433692552 13875     -260      146      625192 0.0173 0.0716  2.4370 0.1043 
 2.20     625234 1924 1514 1514     625195 -217787957 -433692531 14074     -282      134      625192 0.0173 0.0716  2.4370 0.1043 
 2.30     625234 1924 1514 1514     625195 -217787957 -433692531 14074     -282      134      625192 0.0173 0.0716  2.4370 0.1043 
 2.40     625234 1924 1514 1514     625195 -217787957 -433692531 14074     -282      134      625441 0.0213 0.0660  2.4692 0.0967 
 2.50     625485 1924 1514 1514     625195 -217787957 -433692531 14074     -282      134      625441 0.0213 0.0660  2.4692 0.0967 
 2.60     625485 1924 1514 1514     625401 -217788027 -433692513 14252     -299      124      625441 0.0213 0.0660  2.4692 0.0967 
 2.70     625485 1924 1514 1514     625401 -217788027 -433692513 14252     -299      124      625714 0.0224 0.0781  2.5015 0.0823 
 2.80     625756 1924 1514 1514     625795 -217788110 -433692495 14421     -314      108      625714 0.0224 0.0781  2.5015 0.0823 
 2.90     625756 1924 1514 1514     625795 -217788110 -433692495 14421     -314      108      625981 0.0233 0.0902  2.5256 0.0608 
 3.00     626044 1924 1514 1514     625795 -217788110 -433692495 14421     -314      108      625981 0.0233 0.0902  2.5256 0.0608 
 3.10     626044 1924 1514 1514     625999 -217788187 -433692482 14545     -325       94      625981 0.0233 0.0902  2.5256 0.0608 
 3.20     626044 1924 1514 1514     625999 -217788187 -433692482 14545     -325       94      626253 0.0254 0.0892  2.5462 0.0574 
 3.30     626298 1924 1514 1514     625999 -217788187 -433692482 14545     -325       94      626253 0.0254 0.0892  2.5462 0.0574 
 3.40     626298 1924 1514 1514     625999 -217788187 -433692482 14545     -325       94      626253 0.0254 0.0892  2.5462 0.0574 
 3.50     626566 1924 1514 1514     626396 -217788261 -433692471 14652     -334       82      626505 0.0240 0.0849  2.5643 0.0586 
 3.60     626566 1924 1514 1514     626396 -217788261 -433692471 14652     -334       82      626505 0.0240 0.0849  2.5643 0.0586 
 3.70     626566 1924 1514 1514     626606 -217788345 -433692459 14747     -340       68      626815 0.0259 0.0874  2.5777 0.0218 
 3.80     626861 1924 1514 1514     626792 -217788424 -433692450 14788     -345       57      626815 0.0259 0.0874  2.5777 0.0218 
 3.90     626861 1924 1514 1514     626792 -217788424 -433692450 14788     -345       57      626815 0.0259 0.0874  2.5777 0.0218 
 4.00     626861 1924 1514 1514     626792 -217788424 -433692450 14788     -345       57      627072 0.0297 0.0925  2.5847 0.0325 
 4.10     627112 1924 1514 1514     627189 -217788494 -433692442 14835     -346       50      627072 0.0297 0.0925  2.5847 0.0325 
 4.20     627112 1924 1514 1514     627189 -217788494 -433692442 14835     -346       50      627072 0.0297 0.0925  2.5847 0.0325 
 4.30     627112 1924 1514 1514     627189 -217788494 -433692442 14835     -346       50      627072 0.0297 0.0925  2.5847 0.0325 
 4.40     627360 1924 1514 1514     627189 -217788494 -433692442 14835     -346       50      627318 0.0274 0.0962  2.5929 0.0399 
 4.50     627360 1924 1514 1514     627401 -217788566 -433692434 14883     -347       41      627570 0.0260 0.0976  2.5997 0.0226 
 4.60     627614 1924 1514 1514     627611 -217788638 -433692425 14905     -348       34      627570 0.0260 0.0976  2.5997 0.0226 
 4.70     627614 1924 1514 1514     627611 -217788638 -433692425 14905     -348       34      627570 0.0260 0.0976  2.5997 0.0226 
 4.80     627866 1924 1514 1514     627611 -217788638 -433692425 14905     -348       34      627822 0.0292 0.0961  2.6023 0.0114 
 4.90     627866 1924 1514 1514     627798 -217788714 -433692416 14926     -348       29      627822 0.0292 0.0961  2.6023 0.0114 
